,,,,,,,,,,,,DIPUTADO POR Madrid,MESA.PRESIDENTE,MESA.VICEPRESIDENTE,MESA.SECRETARIO,GRUPO.PORTAVOZ,GRUPO.PORTAVOZ_ADJUNTO,COMISIÓN.PRESIDENTE,COMISIÓN.VICEPRESIDENTE,COMISIÓN.SECRETARIO,COMISIÓN.PORTAVOZ,COMISIÓN.PORTAVOZ_ADJUNTO,NOTAS
,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO ,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"Abad Pérez, Juan Antonio  (GP)",2813.87,0,0,0,0,0,1823.86,4637.73,64928.22,La Rioja,M,,,,,,,,,x,,,
"Ábalos Meco, José Luis  (GS)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,x,,,Portavoz sustituto Junta Portavoces / Secretario Segundo Comisión
"Agirretxea Urresti, Joseba Andoni  (GV (EAJ-PNV))",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Gipuzkoa,M,,,,,,,,,,x,,
"Aguiar Rodríguez, Ernesto  (GP)",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Santa Cruz de Tenerife,M,,,,,,,,,,x,,
"Aguilar Rivero, Rosa  (GS)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Córdoba,F,,,,,,,,,,x,,
"Albendea Pabón, Juan Manuel  (GP)",2813.87,0,0,0,0,1431.31,1823.86,6069.04,84966.56,Sevilla,M,,,,,,,x,,,,,
"Alberto Pérez, Celia  (GP)",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Las Palmas,F,,,,,,,,,,,x,
"Alegría Continente, María Pilar  (GS)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Zaragoza,F,,,,,,,,x,,,,
"Alonso Aranegui, Alfonso  (GP)",2813.87,0,0,0,2667.5,0,1823.86,7305.23,102273.22,Álava,M,,,,,x,,,,,,,
"Alonso Núñez, Alejandro  (GS)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Toledo,M,,,,,,,,,,x,,
"Alonso Ruiz, José María  (GP)",2813.87,0,0,0,0,0,1823.86,4637.73,64928.22,Cantabria,F,,,,,,,,,x,,,
"Álvarez Álvarez, Ángeles  (GS)",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,,,x,,
"Álvarez de Toledo Peralta Ramos, Cayetana  (GP)",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,x,,,,
"Álvarez Sostres, Enrique  (GMx)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Asturias,M,,,,,,,,,,x,x,
"Álvarez-Arenas Cisneros, María del Carmen  (GP)",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,,,x,,
"Anchuelo Crego, Álvaro  (GUPyD)",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,,,x,,
"Angulo Romero, María Teresa  (GP)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Badajoz,F,,,,,,,,x,,,,
"Aragonés Mendiguchía, Carlos  (GP)",2813.87,0,0,0,0,1431.31,870.56,5115.74,71620.36,Madrid,M,x,,,,,,x,,,,,
"Araújo Gil, Rogelio  (GP)",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Illes Balears,M,,,,,,,,,x,,,
"Ares Martínez-Fortún, María de la O  (GP)",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Illes Balears ,F,,,,,,,,,x,,,
"Ariztegui Larrañaga, Maite  (GMx)",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Gipuzkoa,F,,,,,,,,,,x,x,
"Asian González, Matilde Pastora  (GP)",2813.87,0,0,0,0,2667.5,1823.86,7305.23,102273.22,Las Palmas,F,,,,,,,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Ayala Sánchez, Andrés José  (GP)",2813.87,,,,,"1,046.48",1823.86,"5,684.21",79578.94,Murcia,M,,,,,,,,,,x,,
"Ayllón Manso, José Luis  (GP)",2813.87,0,0,0,0,0,1823.86,4637.73,64928.22,Barcelona,M,,,,,,,,,,,,
"Azpiazu Uriarte, Pedro María  (GV (EAJ-PNV))",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Bizkaia,M,,,,,,,,,,x,,Portavoz Sustituto de la Junta de Portavoces
"Azpiroz Villar, José Eugenio  (GP)",2813.87,0,0,0,0,1431.31,1823.86,6069.04,84966.56,Gipuzkoa,M,,,,,,,x,,,,,
B,,,,,,,,,0,,,,,,,,,,,,,,
"Baena Azuaga, María del Mar  (GP)",2813.87,0.00,0.00,0.00,0.00,0.00,1823.86,4637.73,64928.22,Málaga,F,,,,,,,,,,,x,
"Bajo Prieto, María Luz  (GP)",2813.87,0.00,0.00,0.00,0.00,0.00,870.56,3684.43,51582.02,Madrid,F,x,,,,,,,,,x,,
"Baldoví Roda, Joan  (GMx)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,,x,x,
"Barberà i Montserrat, Martí  (GC-CiU)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Tarragona,H,,,,,,,,,,x,,
"Barkos Berruezo, Uxue  (GMx)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Navarra,F,,,,,x,,,,,x,x,
"Barreda de los Ríos, Leopoldo  (GP)",2813.87,0.00,0.00,0.00,2667.40,0.00,1823.86,7305.13,102271.82,Bizkaia,M,,,,,,,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Barreda Fontes, José María  (GS)",2813.87,0.00,0.00,0.00,0.00,1431.31,1823.86,6069.04,84966.56,Ciudad Real,M,,,,,,,x,,,,,
"Barreiro Álvarez, Pilar  (GP)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Murcia,F,,,,,,,,x,,,,
"Barrero López, Jaime Javier  (GS)",2813.87,1209.60,1010.83,707.10,0.00,1046.48,1823.86,8611.74,120564.36,Huelva,M,,,x,,,,,x,,,,
"Batet Lamaña, Meritxell  (GS)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,,
"Bedera Bravo, Mario  (GS)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Valladolid,M,,,,,,,,,,x,,
"Benegas Haddad, José María  (GS)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Bizkaia,M,,,,,,,,x,,,,
"Beneyto Pérez, José María  (GP)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Cuenca,M,,,,,,,,,,x,,
"Bermúdez de Castro Fernández, José Antonio  (GP)",2813.87,0.00,0.00,0.00,2667.40,0.00,1823.86,7305.13,102271.82,Salamanca,M,,,,,,,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Bertomeu Bertomeu, Juan  (GP)",2813.87,0.00,0.00,0.00,2087.07,0.00,1823.86,6724.80,94147.2,Tarragona,M,,,,,,,,,,,x,
"Blanco Terán, Rosa Delia  (GS)",2813.87,0.00,0.00,0.00,0.00,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,x,,,,
"Blanquer Alcaraz, Patricia  (GS)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Alicante,F,,,,,,,,,,x,,
"Blasco Soto, Miriam Guadalupe  (GP)",2813.87,0.00,0.00,0.00,0.00,697.65,1823.86,5335.38,74695.32,Alicante,F,,,,,,,,,,x,,
"Bolarín Sánchez, María Dolores  (GP)",2813.87,0.00,0.00,0.00,0.00,697.65,1823.86,5335.38,74695.32,Murcia,F,,,,,,,,,,,x,
"Bonilla Domínguez, María Jesús  (GP)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,Cuenca,F,,,,,,,,x,,,,
"Bosch i Pascual, Alfred  (GMx)",2813.87,0.00,0.00,0.00,2667.40,0.00,1823.86,7305.13,102271.82,Barcelona,M,,,,,,,,,,x,,
"Bravo Ibáñez, Mª Concepción  (GP)",2813.87,0.00,0.00,0.00,0.00,1046.48,1823.86,5684.21,79578.94,La Rioja,F,,,,,,,,,,x,,
"Buyolo García, Federico  (GS)",2813.87,0.00,0.00,0.00,0.00,697.65,1823.86,5335.38,74695.32,Alicante,M,,,,,,,,,,,x,
C,,,,,,,,,0,,,,,,,,,,,,,,
"Cabello de Alba Hernández, Federico  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Córdoba,M,,,,,,,,,x,,,
"Cabrera García, Francisco Domingo  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Las Palmas,M,,,,,,,,,,,x,
"Caicedo Bernabé, Jesús  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Almería,M,,,,,,,,x,,,,
"Caldera Sánchez-Capitán, Jesús  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Salamanca,M,,,,,,,,x,,,,
"Campos Arteseros, Herick Manuel  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Alicante,M,,,,,,,,,,,x,
"Camps Devesa, Gerardo  (GP)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Alicante,M,,,,,,,x,,,,,
"Campuzano i Canadés, Carles  (GC-CiU)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,x,
"Candón Adán, Alfonso  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cádiz,M,,,,,,,,,,,x,
"Canongia Gerona, Joan  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,x,,,
"Cantó García del Moral, Antonio  (GUPyD)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,,x,,
"Carcedo Roces, María Luisa  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Asturias,F,,,,,,,,,,x,,
"Carreño Fernández, María Ascensión  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Murcia,F,,,,,,,,,,,x,
"Casado Blanco, Pablo  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Ávila,M,,,,,,,,,,x,,
"Castellano Ramón, Helena  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,León,F,,,,,,,,,x,,,
"Castillo Calvín, José Miguel  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Granada,M,,,,,,,,,,x,,
"Cediel Martínez, María Virtudes  (GS)",2813.87,,,,,0,870.56,3684.43,51582.02,Madrid,F,x,,,,,,,,,,x,
"Centella Gómez, José Luis  (GIP)",2813.87,,1741.19,926.31,2667.5,1046.48,1823.86,11019.21,154268.94,Sevilla,M,,,,,,,,,,x,x,Portavoz Sustituto de la Junta de Portavoces
"Chaves González, Manuel María  (GS)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Cádiz,M,,,,,,,x,,,,,
"Cid Muñoz, Margarita del Carmen del  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Málaga,F,,,,,,,,,,,,
