,,,,,,,,,,,,DIPUTADO POR Madrid,MESA.PRESIDENTE,MESA.VICEPRESIDENTE,MESA.SECRETARIO,GRUPO.PORTAVOZ,GRUPO.PORTAVOZ_ADJUNTO,COMISIÓN.PRESIDENTE,COMISIÓN.VICEPRESIDENTE,COMISIÓN.SECRETARIO,COMISIÓN.PORTAVOZ,COMISIÓN.PORTAVOZ_ADJUNTO,NOTAS
NOMBRE,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"Picó i Azanza, Antoni  (GC-CiU)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,x,
"Posada Moreno, Jesús  (GP)",2813.87,3064.57,3327.89,2728.57,,,1823.86,10694.19,149718.66,Soria,M,,x,,,,,,,,,,
"Pozuelo Meño, María Isabel  (GS)",2813.87,,,,,,1823.86,4637.73,64928.22,Sevilla,F,,,,,,,,,,,x,
"Prada Presa, Alfredo  (GP)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,León,M,,,,,,,x,,,,,
"Pradas Torres, Antonio Francisco  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Sevilla,M,,,,,,,,,,x,,
"Puche Rodríguez-Acosta, Gabino  (GP)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Jaén,M,,,,,,,x,,,,,
"Puente Redondo, Javier  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Cantabria,M,,,,,,,,,,,x,
"Puig Ferrer, Joaquín Francisco  (GS)",2813.87,,,,,,1823.86,4637.73,64928.22,Castellón,M,,,,,,,,,,x,,
"Puyuelo del Val, María Blanca  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Huesca,F,,,,,,,,,x,,,
Q,,,,,,,,,0,,,,,,,,,,,,,,
"Quevedo Iturbe, Pedro  (GMx)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Las Palmas,M,,,,,,,,,,x,x,
"Quintanilla Barba, María del Carmen  (GP)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Ciudad Real,F,,,,,,,x,,,,,
R,,,,,,,,,0,,,,,,,,,,,,,,
"Ramis Socias, Miquel  (GP)",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Illes Balears,M,,,,,,,x,,,,,
"Ramón Utrabo, Elvira  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Granada,F,,,,,,,,,x,,x,
"Rangel Tarrés, Joan  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,,
"Riera i Reñé, Inmaculada  (GC-CiU)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,x,
"Rocha Rubí, Manuel de la  (GS)",2813.87,,,,,697.65,870.56,4382.08,61349.12,Madrid,M,,,,,,,,,,,x,
"Rodríguez Barahona, María Teresa  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Álava,F,,,,,,,,,,,x,
"Rodríguez Flores, María Carmen  (GP)",2813.87,,,,,,870.56,3684.43,51582.02,Madrid,F,x,,,,,,,,,,,
"Rodríguez García, Isabel  (GS)",2813.87,,,,2087.07,697.65,1823.86,7422.45,103914.3,Ciudad Real,F,,,,,,x,,,x,,,Portavoz Sustituto de la Junta de Portavoces
"Rodríguez Maniega, María del Carmen  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Asturias,F,,,,,,,,x,,,,
"Rodríguez Ramírez, María José  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Huelva,F,,,,,,,,,x,,x,
"Rodríguez Ramos, María Soraya  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valladolid,F,,,,,,,,x,,,,
"Rodríguez Sánchez, Germán  (GS)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,x,x,,
"Rodríguez Sánchez, María Felicidad  (GP)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Cádiz,F,,,,,,,,,,,x,
"Rodríguez Vázquez, María Paloma  (GS)",2813.87,,,,,697.65,1823.86,5335.38,74695.32,A Coruña,F,,,,,,,,,,,x,
"Rodríguez-Salmones Cabeza, Beatriz  (GP)",2813.87,,,,2087.07,,870.56,5771.5,80801,Madrid,F,x,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Román Jasanada, Antonio  (GP)",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Guadalajara,M,,,,,,,,x,,,,
